status,num_keypoints1,num_keypoints2,num_matches,num_inliers,inlier_ratio,mean_error,median_error,std_error,p90_error,max_error,cond_H,log_cond_H,det_H,pair_id,augmentation_src,augmentation_tgt,original_src,original_tgt,pair_index,augmentation_index,defect_added,flag
success,884,621,209,9,0.0430622009569378,0.780050625138511,0.3611190613024406,0.7191454102682302,1.7623595845989404,1.8571449464631158,38330.31337285207,10.553996333996073,0.9391485259557262,20250905_031521_20250905_031830,gamma_1.2,gamma_1.2,20250905_031521.jpg,20250905_031830.jpg,0,14,True,OK
success,912,650,210,9,0.04285714285714286,0.5556409373399651,0.4207211418102901,0.467512721794037,1.1527587839086708,1.5877646501719442,15287.58260641088,9.634796183507296,1.1909333975278118,20250905_031521_20250905_031830,gamma_0.8,gamma_0.8,20250905_031521.jpg,20250905_031830.jpg,0,11,True,OK
success,548,415,140,8,0.05714285714285714,0.42129545260596557,0.5336209530450396,0.3268950025732373,0.6988537446261582,1.0437467261133364,332234.1011587129,12.713595123387545,0.3579440036799319,20250905_031521_20250905_031830,motion_blur_3,motion_blur_3,20250905_031521.jpg,20250905_031830.jpg,0,27,True,OK
success,909,655,223,11,0.04932735426008968,0.9649575717723714,0.9670313164132905,0.7499515888879442,2.139684874590773,2.4193258722429865,1407.1964914413632,7.249354700129566,1.0259028830564818,20250905_031521_20250905_031830,shift_-3_0,shift_-3_0,20250905_031521.jpg,20250905_031830.jpg,0,16,True,OK
success,912,646,219,9,0.0410958904109589,1.0005618188377825,0.9401990502006998,0.4736148823049694,1.5649005015690411,2.0158399949434673,4847.03378314014,8.486122205728273,1.2859749598389878,20250905_031521_20250905_031830,shift_5_5,shift_5_5,20250905_031521.jpg,20250905_031830.jpg,0,18,False,OK
success,825,599,207,8,0.03864734299516908,0.8281716466971276,0.7816464346658614,0.32929200776562156,1.283415883500991,1.4113686873809743,68801.49439798575,11.138980744586496,0.8251772056711424,20250905_031521_20250905_031830,gamma_0.6,gamma_0.6,20250905_031521.jpg,20250905_031830.jpg,0,9,True,OK
success,893,676,222,8,0.036036036036036036,0.4616637821035939,0.25291691637173214,0.3796395609135577,0.9855550910765914,1.0890044385746958,99012.29381588825,11.5029993013655,1.6714726200358834,20250905_031521_20250905_031830,gamma_0.9,gamma_0.9,20250905_031521.jpg,20250905_031830.jpg,0,12,True,OK
success,645,493,155,9,0.05806451612903226,1.3359996646938903,1.3102667117083324,0.7859676609244235,2.2849715416136993,2.619920726013086,26120.678270943077,10.17048255054721,0.7373627059190971,20250905_031521_20250905_031830,scale_0.98,scale_0.98,20250905_031521.jpg,20250905_031830.jpg,0,24,False,OK
success,653,507,165,9,0.05454545454545454,0.7313068979900517,0.44202507987793693,0.621838774807585,1.6380855748043177,1.9457540906172792,13132.218472403816,9.482823915126701,1.0054173026529132,20250905_031521_20250905_031830,scale_1.02,scale_1.02,20250905_031521.jpg,20250905_031830.jpg,0,25,True,OK
success,569,440,139,9,0.06474820143884892,0.9944212335783651,1.2288030621732917,0.49498086112750905,1.5323021982287455,1.594210980561466,16606.019387540357,9.717520522323424,1.7570222981905705,20250905_031521_20250905_031830,brightness_0.7,brightness_0.7,20250905_031521.jpg,20250905_031830.jpg,0,0,True,OK
success,947,700,218,11,0.05045871559633028,1.2028480453519237,1.379666196471893,0.6580234914879566,1.7251405989224375,2.497352513773685,1642.1935897427109,7.403788181809946,1.0859078794979184,20250905_031523_20250905_031832,brightness_1.1,brightness_1.1,20250905_031523.jpg,20250905_031832.jpg,1,3,True,OK
success,1233,868,284,9,0.03169014084507042,1.1558397763266635,0.9944499562360082,0.7359040231682134,2.2178745387566634,2.3739913575999805,89248.12649441243,11.399175707762312,1.3365365429109084,20250905_031523_20250905_031832,brightness_1.3,brightness_1.3,20250905_031523.jpg,20250905_031832.jpg,1,5,False,OK
success,854,642,202,9,0.04455445544554455,0.7904046102826192,0.48392407813785615,0.6628580992673129,1.8536455254924575,2.0986164561966847,6966.424370013025,8.848857369256006,0.9950173988164513,20250905_031523_20250905_031832,shift_-3_0,shift_-3_0,20250905_031523.jpg,20250905_031832.jpg,1,16,False,OK
success,1856,1394,442,6,0.013574660633484163,0.4856442525230836,0.24219972730698128,0.42159295618663295,1.0779665300971146,1.0989183609008089,257339.89878166997,12.458153053413614,3.9780843564955175,20250905_031523_20250905_031832,real_noise_1.0,real_noise_1.0,20250905_031523.jpg,20250905_031832.jpg,1,31,True,OK
success,853,651,199,8,0.04020100502512563,0.5844547413014949,0.2609055956420891,0.6148827337333242,1.2563998789668407,1.9163648971820693,15089.552242370186,9.621757878847847,1.3634112635831837,20250905_031523_20250905_031832,shift_5_5,shift_5_5,20250905_031523.jpg,20250905_031832.jpg,1,18,True,OK
success,733,574,189,10,0.05291005291005291,1.181781694352549,1.257368223868628,0.6082598443041306,1.6511534280375044,2.5328310388161626,36965.51960518058,10.517740854572525,0.7246036224526652,20250905_031523_20250905_031832,rotation_-3,rotation_-3,20250905_031523.jpg,20250905_031832.jpg,1,20,True,OK
success,1366,993,308,8,0.025974025974025976,0.1446428073125699,0.1761172635024192,0.11049283998305749,0.2742813911665349,0.2781816939486157,3579.246930970545,8.182907702789638,0.9694320235499854,20250905_031523_20250905_031832,real_noise_0.5,real_noise_0.5,20250905_031523.jpg,20250905_031832.jpg,1,30,True,OK
success,869,641,213,8,0.03755868544600939,0.7698816369758064,0.46845585004926404,0.6335776178648862,1.6679946234153238,1.9981726163457254,295.2730797704752,5.687900622286435,1.0377580097757633,20250905_031523_20250905_031832,correlated_noise_sigma_3,correlated_noise_sigma_3,20250905_031523.jpg,20250905_031832.jpg,1,34,False,OK
success,664,541,187,17,0.09090909090909091,1.055062815446698,0.8151361256464704,0.6472092126583405,1.9876647543582393,2.3674915334746007,11914.042515585814,9.385473026722288,1.06632265947226,20250905_031523_20250905_031832,rotation_5,rotation_5,20250905_031523.jpg,20250905_031832.jpg,1,22,False,OK
success,885,683,228,8,0.03508771929824561,1.0920702328853547,0.9646142802696004,0.7363391929375864,2.1423687114302163,2.3268580568606354,809.1548194535071,6.695990270138084,0.9925142869327315,20250905_031523_20250905_031832,correlated_noise_sigma_2,correlated_noise_sigma_2,20250905_031523.jpg,20250905_031832.jpg,1,33,True,OK
success,731,660,166,9,0.05421686746987952,0.4308504212287709,0.32050994485286366,0.41301024379295775,0.8223143568312926,1.4285271443995444,82616.73483796681,11.321967539932178,1.3468032464060666,20250905_031525_20250905_031834,shift_0_3,shift_0_3,20250905_031525.jpg,20250905_031834.jpg,2,17,True,OK
success,697,616,152,7,0.046052631578947366,0.7139737668981014,0.5129819071252174,0.4663165662140624,1.2278429516590432,1.246669063046415,110103.18725294589,11.609173271001538,1.7488366914271685,20250905_031525_20250905_031834,gamma_0.6,gamma_0.6,20250905_031525.jpg,20250905_031834.jpg,2,9,True,OK
success,743,664,158,7,0.04430379746835443,8.545139512226281e-13,7.626344918775623e-13,6.384675761150868e-13,1.4152007829870368e-12,2.30829078921567e-12,125464.3449905562,11.739776893527978,1.5771751602655626,20250905_031525_20250905_031834,gamma_0.9,gamma_0.9,20250905_031525.jpg,20250905_031834.jpg,2,12,False,OK
